0%,-1%,0%,0%,-1%,1%,0%,-1%,0%,0%,-2%,1%,0%,-1%,3%,1%,-1%,2%,1%,0%,2%,1%,-1%,0%,0%,-1%,1%,-1%,-3%,1%,1%,,
2%,-4%,-2%,-2%,-4%,-2%,-4%,-7%,2%,-3%,-8%,19%,-2%,-4%,11%,-1%,-3%,1%,0%,-3%,17%,-1%,-4%,20%,-2%,-5%,-2%,-4%,-7%,0%,7%,,
-7%,-1%,3%,3%,-5%,1%,4%,1%,17%,11%,11%,-9%,18%,-1%,1%,-2%,-7%,-2%,0%,-15%,-10%,-9%,-11%,-11%,-2%,-8%,6%,8%,6%,11%,8%,,
0%,2%,5%,3%,-2%,0%,2%,-3%,0%,3%,-2%,-2%,1%,-5%,-3%,0%,-6%,-3%,-1%,2%,-2%,3%,-2%,1%,0%,0%,3%,4%,0%,2%,3%,,
-31%,-13%,-44%,-18%,-36%,-29%,1%,-14%,7%,-11%,-8%,12%,23%,8%,15%,24%,12%,16%,22%,36%,-10%,-2%,-52%,-14%,2%,34%,42%,25%,-1%,4%,24%,,
0%,-1%,1%,1%,1%,1%,1%,-1%,0%,1%,1%,-1%,1%,-1%,1%,1%,1%,1%,0%,1%,-2%,0%,-1%,-1%,-1%,-2%,0%,0%,-1%,0%,1%,,
0%,1%,1%,0%,-1%,-2%,0%,-1%,0%,0%,0%,0%,1%,0%,2%,1%,-1%,-2%,-2%,-1%,0%,0%,-1%,0%,0%,1%,2%,0%,-1%,2%,1%,,
1%,-1%,-1%,-3%,-3%,-2%,0%,0%,2%,2%,3%,1%,1%,1%,2%,1%,-1%,0%,0%,1%,2%,1%,1%,1%,-1%,0%,-1%,-5%,0%,1%,2%,,
2%,0%,2%,0%,-2%,0%,-1%,-1%,1%,1%,0%,1%,-1%,-1%,1%,1%,1%,2%,3%,-3%,0%,0%,0%,-5%,2%,-5%,1%,-1%,0%,2%,2%,,
-1%,-2%,-1%,1%,2%,-1%,0%,1%,2%,1%,3%,0%,2%,3%,2%,2%,3%,3%,1%,2%,2%,2%,-12%,-7%,-2%,-2%,-2%,0%,-2%,0%,3%,,
-1%,1%,-1%,0%,1%,-1%,-1%,2%,-2%,-2%,1%,-2%,-1%,2%,-1%,0%,2%,-1%,0%,2%,0%,-2%,1%,-1%,0%,2%,0%,0%,1%,0%,1%,,
